model,n_train,score,fit_seconds
XGBoost,2000,3.648475825296456,0.4826970100402832
SVM,2000,4.308046024827265,0.7064259052276611
XGBoost,5000,3.4074725646140704,0.5178608894348145
SVM,5000,4.054550003827236,2.0618398189544678
XGBoost,10000,3.2537942539024605,0.5268237590789795
SVM,10000,3.913664160240175,4.929337024688721
XGBoost,15000,3.1888007783531758,0.553070068359375
SVM,15000,3.8397861095776666,8.641309976577759
XGBoost,25000,3.150163701543534,0.592749834060669
SVM,25000,3.765136244077863,18.98008441925049
XGBoost,33562,3.11247399941259,0.6466817855834961
SVM,33562,3.716295339331522,31.608143091201782
