model,n_train,score,fit_seconds
XGBoost,2000,0.30885190358486897,0.5474851131439209
SVM,2000,0.2099020194443944,1.0935800075531006
XGBoost,5000,0.35500705725728754,0.576287031173706
SVM,5000,0.2415245422098491,2.7916998863220215
XGBoost,10000,0.387361526751083,0.6003909111022949
SVM,10000,0.2690997256053041,6.221223831176758
XGBoost,20000,0.40447991958449536,0.6875059604644775
SVM,20000,0.28189674961858097,15.167443037033081
XGBoost,40000,0.4359541152928886,0.8204610347747803
SVM,40000,0.32122149380201487,42.15625309944153
XGBoost,77043,0.4453096760056771,1.0466129779815674
SVM,77043,0.33500881680178735,187.39270973205566
